2022-04-30[ SELECT Record_time, MIN(temperature) FROM sensor_box_01 WHERE Record_date = '2022-04-30'; ]

2022-04-30[ java.lang.NumberFormatException: For input string: "nan" ]

2022-04-30[ java.lang.NumberFormatException: For input string: "nan" ]

2022-04-30[ java.lang.NumberFormatException: For input string: "nan" ]

2022-04-30[ java.lang.NumberFormatException: For input string: "nan" ]

2022-04-30[ java.lang.NumberFormatException: For input string: "nan" ]

2022-04-30[ java.lang.NumberFormatException: For input string: "nan" ]

2022-04-30[ SELECT MAX(water_level) FROM sensor_box_02 WHERE Record_date = '2022-04-30'; ]

2022-04-30[ SELECT MAX(water_level) FROM sensor_box_02 WHERE Record_date = '2022-04-30'; ]

2022-04-30[ SELECT MAX(water_level) FROM sensor_box_02 WHERE Record_date = '2022-04-30'; ]

2022-04-30[ SELECT MAX(water_level) FROM sensor_box_02 WHERE Record_date = '2022-04-30'; ]

